report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-06-23,21370,5054,11245,2771,5202,2617,505,6075,1852,545,982,1353
2026-06-16,21763,6075,12807,1845,5433,2926,285,6026,1867,569,1207,1153
2026-06-09,20497,6204,12289,1136,5330,2442,469,5679,1825,480,1066,1217
2026-06-02,20464,6273,12889,844,5256,2153,653,5504,1888,367,1194,1071
2026-05-26,22067,4638,13368,2123,5950,1598,708,6321,2137,590,1305,1200
2026-05-19,23444,5215,14288,2001,6227,1406,728,6313,2155,1427,1310,1138
2026-05-12,23981,4360,15529,1717,7097,1297,510,6135,2189,1347,2005,1083
2026-05-05,23855,4159,15994,1450,7096,909,611,6891,2368,1014,1240,1117
2026-04-28,22123,3542,14016,1612,6621,1196,683,6704,2051,1121,1088,1131
2026-04-21,25552,2949,13805,3731,6587,1229,975,6748,2085,2265,1293,1085
2026-04-14,24330,3332,13701,2306,6505,1244,1032,6520,2247,2192,1083,1190
2026-04-07,22905,3613,12181,2074,6022,1449,1248,5959,2098,2288,982,1264
2026-03-31,21247,2977,11153,1917,5965,1161,1182,6010,2010,2236,855,1279
2026-03-24,24400,3630,12303,3266,6219,1151,1137,5904,1803,2992,1169,1283
2026-03-17,24962,2512,13722,3380,6954,1068,958,6302,2035,2153,1354,1198
2026-03-10,22134,3033,12977,2622,6875,984,936,5842,2088,973,1148,1092
2026-03-03,21413,3122,12554,2118,7155,1129,907,5975,2100,791,1210,1331
2026-02-24,24540,3998,12598,3739,6663,944,1101,5767,2192,1662,1249,1298
2026-02-17,24753,3847,13032,4099,6958,1019,1002,5821,2206,1436,1232,1165
2026-02-10,25466,4287,14103,4441,7477,972,697,5746,2116,1384,1274,1186
2026-02-03,23987,4253,15892,1533,7191,891,806,6302,1968,1196,1201,1249
2026-01-27,24889,2912,15372,3233,7776,491,434,7130,2461,1119,1274,1354
2026-01-20,25147,4432,16166,2248,7846,548,512,7151,2650,365,1353,1182
2026-01-13,24386,2669,15547,1935,8151,736,493,7605,2778,223,1303,1195
2026-01-06,22698,2393,14308,1513,7740,752,566,7366,2655,179,1259,1173
2025-12-30,20669,1954,13020,1177,7132,478,614,7064,2493,163,1133,1228
2025-12-23,23820,2409,13978,2208,6903,572,647,7203,2481,1231,1299,1232
2025-12-16,26303,2963,15804,2656,7569,686,719,7117,2311,1440,1117,1225
2025-12-09,26381,2215,17374,1800,8134,746,487,8065,2195,1319,1264,1140
2025-12-02,25992,2590,17036,1718,7633,704,516,7601,2201,1268,1260,1187
2025-11-25,28842,4022,18116,3178,7278,727,695,7384,2244,1097,1697,1300
2025-11-18,29455,5254,19116,2467,7202,875,721,7766,2256,1058,1506,1327
2025-11-10,29527,3386,19476,2751,8158,647,397,9135,2189,1121,1311,1311
2025-11-04,29075,3948,19334,2704,7776,714,474,8775,2091,967,1399,1157
2025-10-28,31119,2525,19739,4369,8689,677,248,9609,2392,980,1446,983
2025-10-21,31089,2878,17092,2981,8547,633,274,9639,3123,1165,1613,1094
2025-10-14,30998,3857,17354,2500,8717,608,192,9454,3189,1239,1486,1138
2025-10-07,31223,3221,17275,2939,9247,612,245,9554,3259,1094,1369,1136
2025-09-30,28732,2873,16870,1861,8792,609,240,9294,3089,728,1332,1130
2025-09-23,29728,3411,17839,2620,8687,727,249,9241,2574,914,1322,1039
2025-09-16,30736,2687,19147,2916,9097,771,160,9853,2300,733,1389,938
2025-09-09,28795,3499,18338,1847,8640,714,188,9331,2251,745,1312,902
2025-09-02,28400,2575,18021,2091,8794,510,179,9304,1934,743,1240,983
2025-08-26,29190,3421,18510,2355,8482,441,252,9518,1677,727,1453,1339
2025-08-19,30321,4195,19061,3086,8487,439,336,9428,1892,550,1557,1106
2025-08-12,29158,4090,19714,1577,8905,420,223,9885,1912,524,1688,1059
2025-08-05,28769,4785,18912,1398,8439,420,275,9679,2387,472,1512,1192
2025-07-29,29322,3667,19483,1481,9050,455,145,10648,2152,509,1521,1036
2025-07-22,32027,4713,19722,1973,9165,458,184,10973,2890,1024,1811,1183
2025-07-15,32453,5252,19632,1716,9243,465,224,11046,3922,383,1724,1135
2025-07-08,30454,3917,18790,1677,9023,516,168,10805,4267,275,1551,967
2025-07-01,30153,3605,18303,1507,8598,549,182,10627,4195,840,1382,917
2025-06-24,32752,3238,18854,3270,8827,516,183,11329,4135,807,1567,1071
2025-06-17,32222,3764,18713,2168,8753,551,240,11360,4165,455,1575,1227
2025-06-10,31625,3496,18555,1775,8788,525,145,11925,4850,373,1616,1311
2025-06-03,30996,3883,18264,1643,8638,449,159,12040,4781,438,1427,1033
2025-05-27,34112,3478,18769,3603,9175,414,162,12439,4714,1095,1691,1154
2025-05-20,34046,3117,17882,2754,8972,439,152,11892,4850,1492,1626,1312
2025-05-13,31054,2994,17229,2164,8663,451,154,11319,4907,1235,1413,2082
2025-05-06,29502,3140,19353,1795,7853,423,182,10710,4792,888,1441,1186
2025-04-29,28510,2144,17981,1684,8175,509,185,11110,4941,748,1379,1050
2025-04-22,30330,1973,18206,3282,8142,904,272,10821,4547,1115,1332,1114
2025-04-15,29107,824,15318,3114,7388,559,384,9966,4437,1804,1106,1403
2025-04-08,28738,2848,16889,2270,7483,728,337,9337,4443,1468,1084,1506
2025-04-01,28235,1944,19148,1348,8070,599,290,10410,3680,1109,1161,1335
2025-03-25,30736,1648,20618,2537,8297,644,345,11044,3235,1184,1293,1292
2025-03-18,32061,3116,21367,3220,7747,693,497,10537,2973,920,1433,1495
2025-03-11,30272,2307,20855,2498,8008,596,381,11145,2705,923,1233,1433
2025-03-04,29685,2583,21286,2278,8385,433,246,11694,2725,523,1290,1371
2025-02-25,33675,3882,23092,4039,8831,512,283,12226,2624,575,1627,1546
2025-02-18,35176,3914,23781,3565,9268,832,375,13667,3363,330,1620,1365
2025-02-11,34322,3205,23394,3674,9580,686,228,13785,3415,583,1538,1452
2025-02-04,34355,3362,24510,2705,9940,616,189,14123,3288,467,1425,1253
2025-01-28,36193,3376,25839,2787,10286,675,206,14591,3131,961,1777,1422
2025-01-21,40676,2551,25619,4306,11196,512,242,15435,3764,1416,1613,1307
2025-01-14,37276,3684,25257,3683,10418,527,258,14359,3572,1380,1431,1206
2025-01-07,36268,3807,25331,2280,10316,705,382,14648,3446,1167,1478,1223
2024-12-31,34886,3578,23948,2193,10594,750,219,14154,2971,931,1447,1035
2024-12-24,39215,4055,25778,3224,11036,781,154,15216,3986,1138,1490,1182
2024-12-17,44736,3477,27463,2761,11737,854,339,16088,4645,1154,1809,1469
2024-12-10,39575,4553,26139,2483,11158,828,328,14698,4761,1330,1774,1238
2024-12-03,38789,3973,26220,2116,11310,922,296,14397,4709,1529,1728,1125
2024-11-26,44897,3575,24982,6728,11403,960,432,13795,5225,1678,1827,1106
2024-11-19,45360,3611,25913,4187,11649,947,330,14936,5120,1224,2019,1208
