report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-07-07,18832,4406,11123,1219,4790,2405,129,6718,1939,544,821,1104
2026-06-30,18336,5408,10721,436,4754,2754,275,6260,1735,290,758,992
2026-06-23,20554,4925,11055,2352,5202,2617,505,6075,2044,343,935,1206
2026-06-16,21125,6077,12684,1463,5433,2926,285,6026,2016,399,1140,1070
2026-06-09,19776,6153,12148,721,5330,2442,469,5679,1990,293,1009,1121
2026-06-02,19882,6269,12827,483,5256,2153,653,5504,2033,199,1153,1016
2026-05-26,21625,4666,13300,1834,5950,1598,708,6321,2239,458,1267,1159
2026-05-19,23000,5253,14214,1707,6227,1406,728,6313,2252,1300,1262,1102
2026-05-12,23535,4347,15417,1473,7097,1297,510,6135,2254,1242,1949,1048
2026-05-05,23402,4148,15886,1204,7096,909,611,6891,2422,912,1184,1086
2026-04-28,21692,3534,13894,1380,6621,1196,683,6704,2143,992,1046,1106
2026-04-21,24994,2935,13657,3431,6587,1229,975,6748,2187,2106,1233,1054
2026-04-14,23761,3318,13557,2003,6505,1244,1032,6520,2326,2041,1012,1162
2026-04-07,22308,3601,12028,1743,6022,1449,1248,5959,2233,2096,927,1235
2026-03-31,20631,2991,11043,1539,5965,1161,1182,6014,2148,2039,805,1249
2026-03-24,23268,3814,12165,2422,6219,1151,1137,5904,2095,2609,1097,1254
2026-03-17,23807,2530,13390,2713,6954,1068,958,6302,2257,1834,1246,1157
2026-03-10,21047,3058,12737,1950,6875,984,936,5842,2329,629,1073,1053
2026-03-03,20302,3138,12333,1416,7154,1129,907,5975,2332,450,1149,1298
2026-02-24,22919,4124,12360,2631,6662,944,1101,5763,2612,1147,1162,1214
2026-02-17,23335,3954,12830,3137,6957,1019,1002,5821,2570,976,1163,1094
2026-02-10,24157,4372,13871,3601,7476,972,697,5746,2470,946,1202,1102
2026-02-03,23044,4450,15875,798,7193,891,800,6302,2224,863,1151,1191
2026-01-27,24276,3003,15399,2733,7769,491,430,7130,2502,1001,1206,1311
2026-01-20,24541,4591,16149,1753,7800,548,507,7151,2761,222,1285,1138
2026-01-13,23843,2690,15408,1624,8085,736,490,7605,2820,149,1204,1139
2026-01-06,22168,2554,14294,1085,7677,752,566,7366,2712,97,1194,1118
2025-12-30,20166,2115,13026,747,7075,478,613,7064,2564,77,1058,1171
2025-12-23,21988,2686,13937,825,6820,572,646,7203,2686,717,1203,1177
2025-12-16,24502,3092,15635,1454,7511,686,692,7117,2537,916,1025,1150
2025-12-09,24793,2303,17173,788,8098,746,465,8055,2397,851,1162,1080
2025-12-02,24329,2674,16800,675,7590,704,492,7587,2417,775,1154,1130
2025-11-25,26260,4352,18116,1231,7227,727,666,7320,2433,475,1539,1194
2025-11-18,27116,5570,19134,728,7123,875,699,7764,2459,412,1371,1220
2025-11-10,27544,3776,19586,1097,8073,647,387,9135,2336,628,1219,1248
2025-11-04,27093,4270,19438,1168,7682,714,464,8775,2218,430,1310,1066
2025-10-28,28717,2721,19944,2461,8622,677,248,9609,2278,488,1365,939
2025-10-21,28477,3138,17140,1340,8475,633,273,9639,3035,598,1517,1048
2025-10-14,28503,4039,17470,1003,8651,608,191,9496,3169,585,1411,1087
2025-10-07,29001,3383,17430,1490,9212,612,244,9554,3195,579,1300,1068
2025-09-30,26874,3010,16883,819,8734,609,239,9294,3017,286,1280,1094
2025-09-23,27809,3623,18016,1408,8612,727,248,9454,2630,319,1245,999
2025-09-16,28844,2958,19327,1721,9038,771,159,9976,2326,205,1323,890
2025-09-09,26930,3754,18505,710,8560,714,187,9458,2301,184,1263,851
2025-09-02,26684,2848,18170,1060,8709,510,178,9432,1984,215,1189,936
2025-08-26,27481,3581,18587,1401,8397,441,251,9670,1727,149,1382,1290
2025-08-19,28971,4322,19148,2272,8401,439,335,9521,1926,163,1493,1051
2025-08-12,27851,4120,19736,835,8858,420,222,9998,1912,142,1624,1000
2025-08-05,27561,4889,18987,678,8379,420,274,9679,2278,210,1460,1154
2025-07-29,28068,3776,19584,712,9003,455,144,10763,2165,126,1467,989
2025-07-22,30797,4724,19707,1105,9131,458,183,11105,2894,790,1710,1105
2025-07-15,31309,5258,19605,944,9199,465,223,11046,3795,279,1629,1070
2025-07-08,29591,3940,18764,1095,8955,516,167,10805,4252,174,1483,927
2025-07-01,29388,3712,18353,929,8519,549,181,10627,4194,736,1338,884
2025-06-24,31352,3429,19112,2080,8747,516,182,11329,3988,652,1497,1028
2025-06-17,30860,3782,18800,1214,8675,551,239,11360,4027,287,1500,1178
2025-06-10,30261,3649,18785,633,8737,525,144,11925,4708,252,1529,1261
2025-06-03,29758,4040,18484,610,8591,449,158,12040,4674,306,1341,978
2025-05-27,31964,3525,18786,2089,9148,414,161,12439,4594,783,1554,1052
2025-05-20,32033,3128,17839,1403,8943,439,152,11892,4747,1158,1466,1206
2025-05-13,29070,3043,17182,841,8623,451,153,11319,4845,868,1276,1997
2025-05-06,27971,3156,19432,714,7805,423,181,10710,4670,633,1360,1120
2025-04-29,26966,2162,18060,576,8128,509,183,11110,4826,497,1307,991
2025-04-22,28202,1983,18186,1781,8105,904,271,10821,4540,719,1253,1059
2025-04-15,27126,888,15328,1775,7300,559,382,9966,4414,1415,1017,1335
2025-04-08,26909,2883,16828,1126,7378,728,332,9337,4464,1099,985,1420
2025-04-01,27069,1963,19104,628,7991,599,288,10410,3687,900,1077,1262
2025-03-25,29036,1825,20637,1224,8235,644,344,11044,3228,990,1207,1236
2025-03-18,30213,3381,21349,1802,7653,693,494,10537,3058,678,1298,1392
2025-03-11,28545,2547,20818,1219,7930,596,375,11145,2803,672,1114,1342
2025-03-04,28209,2809,21286,1140,8324,433,240,11694,2780,352,1186,1284
2025-02-25,32060,3849,23048,3023,8737,512,280,12226,2474,479,1480,1423
2025-02-18,33833,4032,23814,2610,9175,832,372,13667,3250,248,1519,1293
2025-02-11,32949,3361,23444,2657,9494,686,224,13785,3316,488,1447,1387
2025-02-04,32892,3542,24540,1626,9863,616,185,14123,3208,343,1329,1197
2025-01-28,34317,3497,25715,1498,10212,675,204,14591,3167,746,1661,1353
2025-01-21,38556,2596,25465,2855,11151,512,239,15435,3808,1176,1486,1218
2025-01-14,35471,3877,25213,2297,10346,527,254,14359,3600,1245,1304,1119
2025-01-07,35079,4035,25239,1569,10244,705,378,14648,3469,1113,1347,1129
2024-12-31,33893,3771,23835,1617,10520,750,214,14154,2988,913,1326,963
2024-12-24,37125,4140,25242,2240,10767,781,139,15216,3993,1078,1336,1061
2024-12-17,42524,3653,26850,1709,11452,854,323,16088,4682,1092,1639,1327
2024-12-10,37588,4657,25643,1549,10889,828,317,14698,4747,1281,1627,1143
2024-12-03,37021,4094,25749,1278,11038,922,285,14397,4705,1528,1600,1045
2024-11-26,40510,5300,24505,3363,11119,960,423,13795,5204,1668,1667,977
2024-11-19,41203,4914,25022,1379,11393,947,316,14936,5097,1215,1833,1043
2024-11-12,38531,4830,25189,1462,11083,947,316,14935,4966,894,1604,957
2024-11-05,32011,3484,22738,724,9865,598,318,12401,4350,721,1443,913
2024-10-29,33787,3745,24660,1028,10072,546,365,12506,4409,1032,1441,814
2024-10-22,33562,3054,23303,1493,9535,528,522,11972,4402,615,1518,987
2024-10-15,34494,2795,23179,1725,10112,540,341,11766,4400,624,1405,999
2024-10-08,29382,1980,20828,903,9632,359,339,1202,4234,1060,1250,840
2024-10-01,28539,2690,20031,900,9163,359,339,1061,4200,983,1150,919
2024-09-24,30542,1985,20623,1511,9233,365,406,1040,3833,1302,1433,980
2024-09-17,30995,1914,19963,1798,11674,416,504,1014,3760,898,1238,861
2024-09-10,28157,1748,18886,1147,18196,367,402,1005,3807,930,1225,957
2024-09-03,26859,2184,18876,575,17664,371,242,1200,4188,490,1067,824
2024-08-27,29817,2365,20297,921,19303,604,336,1152,4603,793,1308,1010
2024-08-20,29630,1905,19036,1445,18784,620,202,940,4278,924,1215,989
2024-08-13,27874,2203,19491,1111,18608,598,171,868,4249,582,1148,867
2024-08-06,27535,1882,19127,1184,17710,629,184,977,4272,479,1164,983
2024-07-30,28605,2700,20293,749,19767,643,140,1092,4247,459,1467,792
2024-07-23,32435,1868,20542,3248,20438,636,181,1206,3812,1131,1598,1119
2024-07-16,31183,1636,20439,1630,19999,656,165,1141,3892,810,1463,1065
2024-07-09,28241,1152,18928,1430,17695,563,276,1052,3795,973,1363,1157
2024-07-02,27063,1251,18022,1560,17291,493,226,1151,3690,1062,1347,947
2024-06-25,30171,1655,18592,3430,17398,493,252,1187,3790,842,1499,1116
2024-06-18,30627,2477,19548,2604,17911,654,166,1214,3799,549,1539,1041
2024-06-11,30503,2402,20045,2117,18482,591,124,1259,3830,649,1632,943
2024-06-04,31086,3326,21276,1629,18527,636,120,1245,3974,522,1601,848
2024-05-28,30255,2140,19191,2502,18594,773,143,1277,3924,539,1763,859
2024-05-21,30694,2332,19154,2153,18734,706,168,1254,4164,532,1586,818
2024-05-14,27077,1833,17479,1656,16904,518,223,1326,3476,631,1519,921
2024-05-07,26155,1899,17120,1393,17255,476,185,1330,3810,404,1588,939
2024-04-30,24795,2061,16525,1395,16882,421,161,1506,3461,367,1461,937
2024-04-23,27932,2566,19059,1917,19010,517,168,1460,4139,153,1525,868
2024-04-16,29526,2653,17836,2599,18898,632,138,1703,4395,208,1532,856
2024-04-09,29074,2994,19010,1891,19547,508,151,1761,4354,124,1699,708
