report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-06-23,952683,75331,142835,120931,488241,204613,45585,54429,307395,53731,87679,59200
2026-06-16,1023165,72158,112530,91859,486510,190008,40996,36820,331094,48576,218516,190177
2026-06-09,1015246,72994,122284,124130,489263,181199,39868,69240,364032,94938,94784,69492
2026-06-02,980409,83640,105960,124752,481419,167034,41583,50706,375517,78289,90901,68936
2026-05-26,962447,87284,113595,118432,465802,167674,50718,50744,368492,66462,94603,57252
2026-05-19,971639,94819,115709,119771,466803,168031,49745,53972,373659,67087,90881,56704
2026-05-12,951652,95445,103596,102714,472278,157702,48775,51190,403700,61429,92416,52219
2026-05-05,962305,88264,109275,112414,467920,158956,47900,55607,390431,70376,92967,50104
2026-04-28,943974,89494,107787,111151,463654,149861,48588,52768,394625,60318,91271,50295
2026-04-21,931191,93227,101579,105119,462319,153288,47027,50520,400143,54297,91973,48029
2026-04-14,922032,99092,99164,105078,455003,165567,44136,48771,380810,53622,89928,51858
2026-04-07,899902,79171,110948,104907,449498,175665,39428,58466,343350,54146,89774,48502
2026-03-31,929014,77346,116044,123774,448285,165822,42969,58403,340943,65570,88431,51562
2026-03-24,917423,69634,125673,121318,466024,157723,40522,47835,340795,57911,90210,52422
2026-03-17,909276,77593,127137,110803,473863,156787,42313,37673,346195,52819,91136,53446
2026-03-10,1118597,74946,113696,154811,536610,143264,39382,69177,470670,119970,99022,58099
2026-03-03,1084135,93228,115220,145407,546948,146242,40131,66974,500900,69906,97979,49065
2026-02-24,1052660,92535,92939,110699,559296,138907,38549,56616,546289,65527,98907,42927
2026-02-17,1041235,99239,89244,100910,572864,135917,38474,54942,572326,39596,102126,46891
2026-02-10,1051803,104522,87214,109752,570952,136618,38241,55185,579784,38596,100693,43056
2026-02-03,1045128,100083,85548,116552,559302,136011,39412,56546,565371,40854,99832,42210
2026-01-27,1065958,91290,89939,130653,567086,147153,39611,55883,541560,46523,100534,49598
2026-01-20,987024,86199,99508,87552,558775,153179,35748,58374,501516,36479,97772,52897
2026-01-13,979292,87921,88244,75314,574064,151588,36066,53467,531660,30497,95605,47342
2026-01-06,980438,101497,79218,75085,569722,145298,34601,46096,555172,28414,97746,43854
2025-12-30,969172,103402,78897,75556,562832,146349,35109,40406,545566,27416,96741,41400
2025-12-23,969479,103643,74545,76783,562336,146983,35277,39830,543070,28737,96609,45818
2025-12-16,1080293,101528,75448,69763,543265,143552,34792,35891,521116,24462,245964,193003
2025-12-09,1021944,86158,67895,109178,539812,144394,34306,74337,547336,51256,101972,50664
2025-12-02,956551,78897,76034,95999,529138,147162,34761,68678,507456,28903,96449,48815
2025-11-25,931862,78234,80482,88245,520784,150303,35479,70636,485151,22393,94872,51761
2025-11-18,931203,77508,79958,85026,524810,145473,36315,74402,495553,18307,94176,52808
