report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-06-23,785477,108150,123560,19813,462293,207563,40752,36965,312295,9929,81337,54312
2026-06-16,894671,94228,103154,18357,460022,189678,39419,32449,331417,8954,214087,186551
2026-06-09,871507,91856,109244,44652,462310,180754,38222,67752,367097,46941,90399,66246
2026-06-02,842424,109583,97556,46228,454078,168157,38523,45480,374951,33490,86539,66009
2026-05-26,824224,110985,103689,40657,439116,169226,47071,46277,368386,23627,88813,52715
2026-05-19,826019,121171,104854,35790,439556,168789,45643,48932,377144,20973,86082,53060
2026-05-12,829377,115836,97833,31734,447503,157223,46202,50756,403974,22627,87878,49024
2026-05-05,815942,110859,99013,29068,443607,157994,44483,50574,393749,22848,88156,46979
2026-04-28,801430,111857,100263,26847,439565,148667,44800,48682,396571,16882,86558,47133
2026-04-21,790622,113259,92942,21355,438536,152145,44146,46504,401195,13838,86804,44465
2026-04-14,788828,117694,92312,23266,434892,164450,40848,47901,385359,13508,84847,48333
2026-04-07,775043,104662,103780,26070,433195,175145,37259,52663,356091,12307,85038,44347
2026-03-31,774237,106291,102344,29856,431246,166829,38980,48543,357954,12527,83289,46805
2026-03-24,764691,97985,111523,29412,446373,158433,37174,39995,357133,5342,84972,47493
2026-03-17,755789,106918,113870,17044,452180,157642,38881,29602,360018,2576,85722,48421
2026-03-10,969374,105592,100361,61202,509748,143449,36884,62742,481320,74711,94223,53948
2026-03-03,913289,128443,98811,35567,519444,149172,35279,56431,511111,22836,91926,43831
2026-02-24,911287,120964,84167,19286,533702,138401,35443,55362,555121,23317,93336,39289
2026-02-17,916813,126502,82953,16100,549252,135539,35640,54606,579530,6212,96673,43476
2026-02-10,926273,132693,82489,22998,546599,136061,35382,55900,586035,6445,94375,38901
2026-02-03,910464,123767,81712,26160,539447,135008,34633,56077,570104,6031,93181,38001
2026-01-27,919284,115423,89062,30343,550558,147028,34237,57593,548117,5397,94116,44646
2026-01-20,880948,100073,89837,20186,543954,152750,33685,61094,512366,3350,92941,49040
2026-01-13,883672,103621,78229,16508,555117,151001,34300,52405,536979,4035,91580,44469
2026-01-06,881815,119570,68970,15592,543666,144979,33043,45159,556172,3804,93907,40900
2025-12-30,869169,121459,68797,13267,537338,145894,32969,40071,547387,3825,92672,38511
2025-12-23,866951,120823,64716,13567,536849,146452,32620,40444,544642,4301,92243,42656
2025-12-16,986986,116937,65636,13367,517767,142973,32394,36836,520690,4326,240921,189767
2025-12-09,942794,102769,61164,57485,517871,144195,32897,74207,548612,34064,98659,47850
2025-12-02,851184,90775,71503,21577,508867,147114,33190,70809,505736,9986,92343,45044
2025-11-25,830589,90941,76217,17189,500319,150557,33071,73064,484010,4411,90477,47572
2025-11-18,827015,87561,75140,15784,502366,145415,33609,75473,489196,1897,89746,48603
2025-11-10,831275,84211,89872,18696,507864,150500,32737,75317,467071,2258,89372,51588
2025-11-04,835176,98873,93691,14454,502569,151549,33499,75329,467770,1548,87292,52475
2025-10-28,843717,108266,90923,14523,499804,135233,29221,74144,506454,1480,92177,47914
2025-10-21,835887,102054,79590,15723,500890,129377,28855,70561,514275,1570,91768,47287
2025-10-14,841079,103080,80802,14160,499343,128222,32568,73898,512555,1797,92184,51379
2025-10-07,855286,107423,86038,12317,513564,126700,28179,70410,536696,1285,95237,45768
2025-09-30,845775,105007,82730,10585,509896,124419,28874,69839,531933,968,94269,44502
2025-09-23,859215,106658,86855,11877,516898,122280,29477,71331,540385,1359,95071,43639
2025-09-16,855448,108039,81802,12969,511998,122299,30025,72918,538082,1271,94620,44999
2025-09-09,878104,103962,71350,47398,506920,123669,29340,47377,513816,20667,100417,46447
2025-09-02,845820,107011,77338,32968,506627,126827,28034,46785,506665,5745,95363,43686
2025-08-26,842215,109029,74822,21656,506393,129579,27987,47052,507819,10755,95096,44929
2025-08-19,825219,104037,70811,20849,501183,129953,28071,51466,501044,2622,94142,46456
2025-08-12,824972,100864,65926,20921,499181,131743,25337,50625,504801,1706,96093,44461
2025-08-05,818360,106098,71890,21045,481035,133610,26427,49171,488915,2494,92215,44629
2025-07-29,828577,110100,79238,24048,481538,124153,24092,47984,499338,3276,97921,45502
2025-07-22,843447,102310,73901,23786,497068,122740,27534,47272,522071,3263,96216,44018
2025-07-15,820440,106430,67906,23367,477607,116891,26259,42464,515996,2533,97608,41614
2025-07-08,805847,105233,76110,19186,464484,114961,28372,41200,496248,2802,99367,42540
2025-07-01,779031,91623,76402,20074,461525,116188,28407,34128,468358,1967,95960,42833
2025-06-24,762607,88638,67545,19317,458163,120432,25703,31477,458976,2989,94870,41704
2025-06-17,755861,88119,72690,15542,456662,123584,25399,28746,453210,2847,97815,38347
2025-06-10,810517,84861,72885,39975,441522,121178,27855,32680,439359,40070,102489,44258
2025-06-03,781284,74113,76024,30167,444511,124440,28161,48503,438220,14218,100625,45104
2025-05-27,760471,76556,77460,24609,441156,127173,26720,49826,424525,9004,95278,42851
2025-05-20,759249,83874,76941,27930,435558,125222,27020,47230,421491,6884,94072,41695
2025-05-13,750906,86340,66187,33460,432043,120966,25767,34250,423571,7384,94529,45021
2025-05-06,737013,73085,67340,34987,427317,120387,25043,33157,415185,7187,97040,41420
2025-04-29,730212,79893,62578,29813,421978,120302,24650,33550,410302,7376,97376,41662
2025-04-22,719232,81269,66559,20180,419532,123255,22601,33861,403364,7126,96353,43440
2025-04-15,708122,80754,58948,18678,419169,129399,21927,29171,393749,7809,92871,44236
2025-04-08,697776,85855,52777,20622,412595,129438,23057,31861,371975,8404,80668,50232
2025-04-01,670827,91315,58425,21892,384138,127920,29441,24218,340593,4098,80132,49095
2025-03-25,672875,89643,63267,18990,389514,125991,30984,22135,351464,3982,81743,46952
2025-03-18,652620,87050,73191,15033,380024,121536,31848,16659,329538,3531,82523,49588
2025-03-11,729760,90093,96012,27278,375109,135878,47485,28370,291663,27334,100166,65409
2025-03-04,683819,94173,102395,20208,366028,154304,45217,22785,255957,17343,83321,53956
2025-02-25,658684,93762,99058,17182,356354,165177,43136,20386,230729,14804,78634,52569
2025-02-18,638024,89424,100651,20602,346446,173913,35795,19976,200260,14302,75697,50472
2025-02-11,622873,88642,109469,18144,338182,177937,35597,16384,178074,14144,76243,51792
2025-02-04,616623,82094,104271,21040,339196,175446,35675,15873,177918,13020,74337,52194
2025-01-28,618908,72532,106828,24361,347583,173187,34967,16363,183222,12613,75982,50973
2025-01-21,609492,72504,107738,17688,340273,179395,35705,22173,166474,9978,75560,57369
2025-01-14,604225,68363,108162,18669,332942,175066,34752,33400,164026,8472,72682,60622
2025-01-07,603187,69495,111083,16162,333660,182397,34554,29921,158813,6877,76649,57529
2024-12-31,609159,80796,122636,12918,336955,183094,34116,29997,162916,6914,73479,54976
2024-12-24,597583,69968,116500,12081,339295,176429,33575,31021,164000,6170,70773,57380
2024-12-17,584000,75931,114176,10000,333070,170058,33757,22018,169508,5268,72006,54200
2024-12-10,727276,76775,120696,20847,330710,168176,38087,82138,224722,55677,84363,63506
2024-12-03,675059,78970,115172,15850,330248,179927,38040,83527,228067,12599,77569,54556
2024-11-26,665553,78630,108586,17438,339036,170328,41189,68838,232782,4456,78896,55314
2024-11-19,658774,70766,110577,16402,343463,160310,42284,65675,237119,5947,76465,54955
2024-11-12,637105,72706,101719,20466,357161,140965,38981,27921,254485,5817,78432,52721
2024-11-05,645597,79747,103781,20228,360538,143086,34753,35168,255641,5787,75889,54853
2024-10-29,661675,75404,105616,19323,365328,173279,32231,56940,242985,6926,73780,54924
2024-10-22,650759,74459,84615,18287,367611,174491,32367,38526,258811,7871,80010,51478
2024-10-15,658481,79699,66796,15544,377266,154627,32270,37773,311755,3663,82051,50226
2024-10-08,669131,80224,62318,16004,404607,137942,31607,17427,346409,4217,84183,48386
2024-10-01,674734,70416,70519,15927,421463,127162,32401,12963,355422,3486,87650,49275
2024-09-24,679514,70914,66148,15122,428761,125770,29774,14057,372075,3334,87312,46182
2024-09-17,678001,72490,66772,14317,427973,121834,28819,13005,382926,3576,86454,41698
