report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-07-07,324070,49870,102944,29632,110126,32474,4876,64877,95208,12253,46091,36786
2026-06-30,315625,38921,105071,31067,102138,35892,4612,77465,80652,11734,41309,37452
2026-06-23,307168,41532,91021,31798,98258,36302,3962,68916,88038,12723,43491,35087
2026-06-16,399837,67595,95912,61075,105639,37877,7172,65899,106801,33428,52636,48309
2026-06-09,359891,69076,102368,42986,113544,31623,5397,56057,102873,20451,45440,43938
2026-06-02,363928,57422,109600,35618,115896,37618,6304,73813,103745,21052,44132,43915
2026-05-26,352721,53245,103519,36333,116917,32808,5683,61462,106066,23999,45381,39312
2026-05-19,339196,56083,100263,35481,119748,28049,4559,51795,109991,16490,43389,38875
2026-05-12,341155,48043,98394,46271,117867,28312,4458,57596,102044,16588,43062,40128
2026-05-05,332505,54097,87178,36762,117165,32634,4750,53694,115788,12846,43197,39083
2026-04-28,322231,48129,81091,36567,113753,36358,5617,50058,105116,14184,42665,39046
2026-04-21,308753,46604,82331,33495,113281,30639,5591,46720,103133,12239,40950,37375
2026-04-14,303927,45688,92052,35250,104262,29960,5507,51518,84815,12444,38273,38929
2026-04-07,276495,49574,85917,21590,93676,37029,5678,52422,74315,8604,34169,38188
2026-03-31,275858,49459,84199,20282,96637,39113,4865,47666,76435,7727,37403,37521
2026-03-24,263276,47954,85144,19011,90793,40968,5275,46289,67316,7236,37435,33884
2026-03-17,335813,51592,78596,58103,94347,37022,10941,48848,83138,24190,39908,38198
2026-03-10,299569,53409,75571,36630,99337,36873,6688,46333,86717,12827,36387,37897
2026-03-03,311880,55908,75410,33910,102897,36008,8405,51204,96282,11514,39529,41260
2026-02-24,308182,56397,71018,33399,106805,37605,6101,48076,107957,8230,41188,36268
2026-02-17,315298,63778,73100,32954,109604,36204,5527,39105,110530,11489,42644,36833
2026-02-10,300599,54889,61490,29443,106364,35216,8147,41441,116749,8641,41693,32909
2026-02-03,307036,57764,68891,29630,109352,36396,7259,38284,117381,8613,43700,31067
