report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-07-07,285086,49681,104694,5477,111434,32464,2906,65313,95557,3233,41915,32274
2026-06-30,278558,36796,105413,10251,102755,35445,3554,77804,80900,2486,37921,32569
2026-06-23,265083,42052,93114,4262,98769,35861,3068,69190,87997,3287,39310,30685
2026-06-16,344441,66996,95150,28062,107695,37372,4479,65939,109912,18047,48266,43445
2026-06-09,305568,68287,102593,9573,114627,31260,3430,56113,103454,7213,40695,38626
2026-06-02,314972,57156,110806,6768,116161,37070,4691,73912,104591,7504,39935,38798
2026-05-26,302990,52861,104540,6090,117374,32311,4491,61230,106252,11135,41004,34357
2026-05-19,293186,55696,101067,7699,120129,27828,3513,51640,110510,4650,39365,33912
2026-05-12,287752,47277,99319,12484,118058,27840,3539,57252,101254,4346,38646,34924
2026-05-05,287657,51944,88044,9778,117433,32301,3693,53418,114018,3336,39197,33965
2026-04-28,275963,45417,81367,10707,114854,36156,3533,49860,103829,3414,38557,34241
2026-04-21,267620,43848,82848,10049,114615,30324,3486,46538,102805,2649,37291,32838
2026-04-14,260197,44471,94138,8913,106090,29785,3016,51423,83979,2420,34416,34136
2026-04-07,246794,47521,86349,5906,94617,37036,3481,52605,73732,2285,30929,33949
2026-03-31,245322,47382,84485,3856,96769,39119,3576,47832,75585,1493,34055,32747
2026-03-24,235906,47003,86382,3464,91326,41056,4022,46512,65954,1841,34325,30131
2026-03-17,300943,51381,82843,35234,96720,36469,7982,48890,82853,17103,37450,34198
2026-03-10,259842,53057,78224,12228,100576,36155,3821,46264,86931,4575,33480,33643
2026-03-03,273307,55905,77694,9426,102985,35402,5525,51171,96563,4751,36335,36846
2026-02-24,270599,56133,72687,9599,106213,36919,4586,48059,108357,1340,38078,31627
2026-02-17,272951,63852,73168,6268,108770,34929,4551,39131,112852,2291,39419,32373
2026-02-10,263282,56269,64870,3653,106340,34193,6590,41453,117273,1779,38796,28972
2026-02-03,268823,58197,69577,4929,107944,35620,5951,38306,116803,2412,40357,27334
2026-01-27,260759,54689,71527,4442,109031,29674,3489,38264,119675,827,39329,25924
2026-01-20,267118,54022,81034,4081,109603,29621,4102,39811,111471,2216,41532,28279
2026-01-13,278878,58656,81404,3270,112990,28648,3439,45989,130169,2118,39971,24407
2026-01-06,274253,60236,78687,3630,112406,31245,3591,37189,125127,1753,43851,24792
2025-12-30,276539,59039,84713,1970,112043,30842,3600,43983,122714,2589,42729,24324
2025-12-23,265616,60357,75499,2408,107257,30935,3156,36258,120095,1677,43498,25594
2025-12-16,378693,83876,90850,35712,112028,31546,6593,43628,135455,40986,46955,30111
2025-12-09,325383,76097,97403,8644,111562,31345,3223,66064,143258,4913,44564,30136
2025-12-02,308211,78215,81255,5707,109798,32878,2976,54145,145134,3997,43448,29650
2025-11-25,296684,76011,66340,5566,110973,33817,2822,44649,145117,4359,41298,31937
2025-11-18,299587,73714,63331,6492,109657,32135,4537,45443,151289,5290,43649,29795
2025-11-10,296639,74313,56694,7307,108326,34472,4888,46162,151993,3582,41787,29734
2025-11-04,292709,62702,53572,12487,111689,31712,4584,45743,148276,4408,41787,31434
2025-10-28,299186,68182,57008,9821,114585,38316,3836,50265,144804,3362,39425,33983
2025-10-21,289838,61437,59393,9351,115878,33745,3242,45535,141735,3995,39740,32754
