report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-07-07,2820380,144029,493592,690924,1160162,190936,103575,134014,866210,214016,294991,192054
2026-06-30,2816721,155341,501835,690540,1149401,173584,102246,121696,879646,216491,303975,183020
2026-06-23,2881793,181676,536189,722660,1168815,183101,109233,113839,873014,201760,305739,190399
2026-06-16,3626468,164507,657975,969813,1199071,218208,171498,179893,813514,511386,342804,213925
2026-06-09,3277786,183486,612200,901876,1203651,226292,109993,166122,854685,291460,326188,216910
2026-06-02,3179028,159626,642601,850036,1198890,216746,112990,163077,789250,269790,330779,227504
2026-05-26,3089799,152096,598143,803742,1206856,200737,117903,166468,850035,231834,320585,214624
2026-05-19,3016677,172900,556326,762799,1210252,207473,117255,136048,853928,223129,313119,222425
2026-05-12,3099962,145401,566977,836782,1238797,185520,116070,138016,875075,224932,317216,227649
2026-05-05,2929948,139233,536054,747459,1206217,195775,122668,126998,837397,201422,301311,219937
2026-04-28,2917764,120183,523639,761983,1189753,193963,130090,128031,831652,196432,301304,215649
2026-04-21,2970300,123347,532160,790943,1207865,191715,130860,123398,839610,203896,303702,219909
2026-04-14,2954645,122219,543277,780916,1203583,196471,123205,138252,828647,199685,293779,230500
2026-04-07,2761624,155919,387915,640621,1158225,221797,129044,118450,928875,167518,288379,228606
2026-03-31,2753043,168388,387457,616471,1138366,228334,135965,134628,954296,154748,288981,219368
2026-03-24,2686274,129548,461412,632493,1104737,234463,127795,128476,794564,161077,295162,216605
2026-03-17,3140342,167970,487484,741889,1085887,204043,194861,137821,814191,397551,324989,240516
2026-03-10,2811611,164289,498161,673571,1093747,201958,117418,138431,795645,210560,306165,237364
2026-03-03,2819767,155665,549853,621584,1182326,188708,112474,130399,859183,201737,301129,211187
2026-02-24,2686979,113083,577163,554894,1193912,190437,99284,138575,812043,178462,307737,194496
2026-02-17,2689673,115006,564630,606170,1158204,192049,96652,134211,795805,168457,317986,197403
2026-02-10,2622006,120111,533862,577595,1105678,187305,95896,137750,809340,155812,303412,193432
2026-02-03,2590599,128254,564830,544288,1116694,191703,92989,135419,793913,141450,305826,191457
2026-01-27,2553033,114287,534740,538914,1101136,193712,95902,128643,791607,140843,309916,188987
2026-01-20,2626663,127530,524115,576300,1097099,216722,103749,127075,789181,144863,316700,200252
2026-01-13,2528041,107050,555732,506140,1136761,206583,96131,131917,796765,113375,307132,173523
2026-01-06,2511760,129029,544782,463021,1176061,214799,101294,143862,840878,99911,301364,171999
2025-12-30,2482754,143694,508392,441359,1167878,227326,104205,127064,837252,104447,297062,180342
2025-12-23,2448795,163129,535269,415371,1150104,216045,101458,130064,833433,99758,302685,174064
2025-12-16,3170060,209874,600974,672550,1165770,203696,158280,165116,882591,352126,344815,220829
2025-12-09,2853225,171318,621057,602128,1165819,209552,115382,155596,809167,221662,317943,197075
2025-12-02,2787630,181188,625216,581574,1154358,216250,115926,150811,796295,176974,322406,201018
2025-11-25,2833499,197732,583568,630196,1130408,227129,114420,147778,822887,177868,325084,204600
2025-11-18,2907728,188399,544494,717058,1129369,223822,124761,131975,804342,187835,309481,219100
2025-11-10,2794689,165575,591421,655232,1125255,223949,110757,132453,737063,194592,300360,203815
2025-11-04,2762562,168649,565734,632748,1117887,225185,116282,122816,732165,190799,302892,216833
2025-10-28,2793749,137405,593707,665202,1130309,225456,116752,134122,691720,177540,299167,208231
2025-10-21,2611212,123288,558174,571288,1112501,214648,114694,127010,696494,154127,291730,207258
2025-10-14,2737946,141016,550285,630312,1127960,217014,123245,135880,727566,166182,296980,213495
2025-10-07,2693036,120439,576916,576199,1155743,213368,123008,152532,734051,158328,295019,210562
2025-09-30,2626042,109186,546431,532816,1152539,219855,118391,148405,757544,150238,280767,204864
2025-09-23,2710966,102538,545491,593077,1151287,241482,120894,155495,731035,155345,291987,221154
2025-09-16,3317019,116277,589181,891654,1153629,264063,159584,154063,703289,374475,331629,254693
2025-09-09,2828243,121481,537503,642053,1143336,262394,138910,125714,718669,219526,295998,225877
2025-09-02,2801966,130695,503484,632455,1116470,266730,140101,136845,724936,219258,288081,228537
2025-08-26,2793715,125855,549365,611037,1129274,263446,137414,144941,711026,229413,291441,219660
2025-08-19,2719486,144779,505194,579955,1137209,274439,135412,144843,745692,168765,288836,226033
2025-08-12,2748472,132075,523216,613356,1147106,261560,140114,139744,728774,171635,282380,218117
2025-08-05,2671849,155890,471995,587501,1096500,256904,139233,126078,725858,161624,287557,223514
2025-07-29,2676348,150269,514865,564943,1106496,238436,138035,139351,725737,156937,294157,219318
2025-07-22,2611583,141201,473630,510003,1090405,240557,129243,166132,735216,145212,284507,225514
2025-07-15,2699693,153750,483857,565638,1092030,231611,135235,150548,729607,154604,287675,228436
2025-07-08,2592835,140042,480731,528411,1102788,240290,129279,123221,725633,148585,284946,215517
2025-07-01,2576543,139105,441121,518613,1098808,256346,124212,124475,754230,140879,288934,211701
2025-06-24,2549294,137434,405796,530398,1062310,223301,132359,141623,741345,131691,283676,226115
2025-06-17,3332531,148954,466255,793532,1080546,240120,148172,216841,779699,440608,309159,258564
2025-06-10,3022349,149909,467546,671687,1083771,261393,136613,193297,788612,348052,292843,227792
2025-06-03,2886337,158418,444601,623477,1080014,268160,133002,175814,856832,225230,288338,231346
2025-05-27,2895946,158711,418381,638901,1115936,264125,137970,162387,866802,218070,278214,237215
2025-05-20,2899916,142862,443015,635814,1118600,248412,131307,183183,848314,212439,284596,244609
2025-05-13,3017004,155912,445596,725094,1109658,254946,140092,190595,850797,207319,295125,238688
2025-05-06,2976903,161115,414939,687886,1095200,284596,146906,187575,871360,216944,280583,250532
2025-04-29,3041554,155260,404634,711494,1103557,280066,166975,169970,914591,195465,285566,250107
2025-04-22,3197219,167807,426838,781788,1110004,304995,174352,185907,951484,196380,285487,247451
2025-04-15,3221571,155639,393598,844566,1078973,276524,184185,185385,928276,216242,281764,256362
2025-04-08,3864689,201222,483278,1224726,1075743,274759,205484,169538,962793,271237,329510,281689
2025-04-01,2835906,173240,436375,573145,1083424,206756,146041,140508,978467,168259,295972,224732
2025-03-25,2745711,160312,396187,552311,1115237,201441,130165,136574,986992,154158,290660,208578
2025-03-18,3478301,223332,422042,866041,1068450,238086,175109,141800,1046162,384349,348686,224273
