report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2026-06-23,1980254,185058,558526,23004,1171421,178692,93200,112578,868478,72337,260145,137567
2026-06-16,2579920,157203,672723,166389,1199855,215846,158539,181571,806740,349587,293396,159621
2026-06-09,2203164,168247,619833,91726,1205065,220979,95369,167839,851164,125281,271330,156346
2026-06-02,2149231,159638,660370,66720,1199303,217444,93791,162444,781951,114489,276056,165362
2026-05-26,2093621,149287,607067,56222,1204894,201287,99775,166194,843171,74085,268642,157740
2026-05-19,2068443,164096,565650,58729,1211994,206574,97940,137243,850997,72050,263458,161661
2026-05-12,2056229,148507,580945,51162,1239798,184926,97750,137266,873539,55767,261019,164996
2026-05-05,1987685,140585,546460,45139,1205350,195462,104106,126440,836027,44547,253180,165657
2026-04-28,1959933,120508,527998,45259,1190432,195617,110386,127669,833209,39710,252048,159559
2026-04-21,1963317,124833,537154,38668,1208817,193890,105869,122778,841407,41126,252323,160564
2026-04-14,1959076,123136,543492,31211,1201198,198055,105043,137784,831374,44020,242192,172098
2026-04-07,1929090,148276,392759,34682,1159194,218759,108031,118039,926651,34957,242173,178979
2026-03-31,1947769,163425,396837,30462,1139703,223985,116288,130907,950231,28700,243672,168295
2026-03-24,1879423,135794,479921,29028,1105309,226918,108305,121938,790910,45599,248997,164785
2026-03-17,2330659,149731,490238,142483,1086532,199704,177896,140346,813118,282706,282301,188364
2026-03-10,1996720,156297,506286,62001,1095733,196881,100687,139297,797702,98615,261643,184260
2026-03-03,2060733,157124,563464,48847,1185588,180820,95311,133315,862545,102645,255189,158645
2026-02-24,2017196,117617,592997,45204,1197520,184376,83114,138402,817510,89887,266922,144935
2026-02-17,1966090,118591,582883,46947,1160066,183201,81556,131869,799244,76571,275741,146799
2026-02-10,1934958,123601,547305,43060,1108058,183362,79851,136519,814201,69150,264773,146765
2026-02-03,1928476,132546,580671,33407,1118819,185593,77783,135264,798471,55588,265972,144323
2026-01-27,1897461,111546,538548,38914,1103294,191666,79889,129464,797623,51871,272677,144760
2026-01-20,1926910,116526,530611,54206,1099843,207449,86731,128508,791905,52868,269656,145957
2026-01-13,1909351,109159,555139,44963,1138244,206944,78373,133027,806738,23624,268079,129452
2026-01-06,1945513,128725,544629,47851,1174764,213425,84552,144940,850872,17089,265273,128807
2025-12-30,1936495,143436,510277,44378,1167836,225868,87746,128547,847827,14391,264382,140057
2025-12-23,1911017,161061,532121,25355,1150865,213962,88063,128323,839460,12524,265821,133381
2025-12-16,2466313,218923,608090,149554,1167573,198088,140448,164750,899034,227920,307444,176296
2025-12-09,2141031,169485,619487,86972,1168070,207545,98532,157777,823373,88890,278527,152024
2025-12-02,2074887,179974,623198,66624,1155848,215351,98882,153788,811573,40111,285067,157296
2025-11-25,2070962,205516,588474,64399,1131923,226629,96833,147313,834806,39950,285530,159619
2025-11-18,2037320,200379,559286,64551,1130593,218542,107256,134731,813579,43324,266268,168827
2025-11-10,1981117,172798,595801,58540,1127096,223770,90670,133633,752421,44220,262824,157785
2025-11-04,1956133,171078,576464,50026,1121671,221014,92677,128119,747272,41033,262911,164790
2025-10-28,1929734,145056,593777,42924,1132353,225556,94237,137390,710270,26757,258041,159776
2025-10-21,1882544,126993,567994,38335,1115602,212867,94578,128273,708756,22679,253648,159875
2025-10-14,1929048,143527,560075,36973,1131293,209390,100830,138451,745422,20527,257245,164445
2025-10-07,1951558,131863,592036,31593,1159218,210113,100191,156263,753717,18576,256055,159408
2025-09-30,1942253,117045,554017,33200,1154937,219143,97242,152895,776869,17986,247369,160247
2025-09-23,1950977,113510,564515,39111,1153356,239804,97347,159658,750068,16856,251727,167815
2025-09-16,2435899,120980,595966,239331,1160211,263911,125633,154729,725339,222371,289199,198144
2025-09-09,2035158,123869,540470,66792,1149395,261973,106452,126459,741594,77935,258404,175580
2025-09-02,1997661,133854,516109,47031,1123696,262868,108270,131768,737943,83710,248116,175977
2025-08-26,2018365,129279,549834,46773,1134644,263364,106046,140075,723317,93585,252559,172452
2025-08-19,1974585,141214,506555,48186,1142641,272049,104284,139960,755281,37899,248088,175380
2025-08-12,1967857,132581,519333,51712,1152260,265901,107734,134165,739186,34162,243946,170640
2025-08-05,1909338,145530,470773,43336,1103259,254278,110371,120783,733066,32095,247482,171519
2025-07-29,1941931,157815,523242,32714,1111564,238980,107905,135576,732716,27519,254800,173371
